"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3914","test_orders_count_increase[chrome-locator0]","tests","Tue Jan 14 19:38:05 CET 2025","passed","Tue Jan 14 19:38:09 CET 2025","TestFeedPage","test_feed_page","",""
"","1827","test_go_to_feed_page[chrome]","tests","Tue Jan 14 19:39:44 CET 2025","passed","Tue Jan 14 19:39:45 CET 2025","TestMainPage","test_main_page","",""
"","245","test_go_to_the_order_history[firefox]","tests","Tue Jan 14 19:40:28 CET 2025","passed","Tue Jan 14 19:40:28 CET 2025","TestProfilePage","test_profile_page","",""
"","1643","test_password_field_activation_on_show_password_click[firefox]","tests","Tue Jan 14 19:39:16 CET 2025","passed","Tue Jan 14 19:39:17 CET 2025","TestForgotPasswordPage","test_forgot_password_page","",""
"","1465","test_go_to_constructor_page[chrome]","tests","Tue Jan 14 19:37:39 CET 2025","passed","Tue Jan 14 19:37:41 CET 2025","TestFeedPage","test_feed_page","",""
"","4746","test_ingredient_counter_increases_after_drag[firefox]","tests","Tue Jan 14 19:40:03 CET 2025","passed","Tue Jan 14 19:40:08 CET 2025","TestMainPage","test_main_page","",""
"","748","test_log_out_from_the_account[firefox]","tests","Tue Jan 14 19:40:39 CET 2025","passed","Tue Jan 14 19:40:40 CET 2025","TestProfilePage","test_profile_page","",""
"","261","test_logged_in_user_can_create_an_order[firefox]","tests","Tue Jan 14 19:40:17 CET 2025","passed","Tue Jan 14 19:40:17 CET 2025","TestMainPage","test_main_page","",""
"","2024","test_password_field_activation_on_show_password_click[chrome]","tests","Tue Jan 14 19:39:19 CET 2025","passed","Tue Jan 14 19:39:21 CET 2025","TestForgotPasswordPage","test_forgot_password_page","",""
"","627","test_go_to_the_order_history[chrome]","tests","Tue Jan 14 19:40:32 CET 2025","passed","Tue Jan 14 19:40:33 CET 2025","TestProfilePage","test_profile_page","",""
